hood.name,total,pct.below.poverty
Temple-Beaudry,36245.92423987215,0.26566649986712854
Thai Town,9127.622514109617,0.2344629239373795
Toluca Lake,8828.374808451572,0.09319514365128119
Toluca Terrace,1022.727988236723,0.2030619362357913
Toluca Woods,1826.9550848125568,0.11801991666559711
Torrance,145498.48943765863,0.06992862147910035
Tujunga,25965.856187750833,0.1568152208690887
Twin Lakes/Oat Mountain,1929.4548689244477,0.11742480658083781
Universal City,41.62299665932693,0.05604524217578771
University Hills,3341.5375172785893,0.22266819928316253
University Park,19503.008639984095,0.5254265663040835
Val Verde,3604.500868479858,0.07348204302451432
Valencia,926.060055615605,0.020856599931975302
Valinda,20387.777673555393,0.10610477326463551
Valley Glen,27283.10549260596,0.17792952412527022
Valley Village,24314.323221339404,0.12180672207750692
Van Nuys,91562.65412071862,0.23163039739611668
