hood.name,gte65,total,pct.gte65
Leimert Park,2625.9808601180416,14736.217098699042,0.17819911599632113
Lennox,1270.464324450526,18911.626349819457,0.06717900940670048
Leona Valley,555.9797743403515,3884.80816060154,0.14311640404252582
Lincoln Heights,4140.677730656806,31217.917789033192,0.1326378574842496
Little Armenia,1330.0356479248273,7544.3003042421105,0.17629675308351087
Little Bangladesh,2824.972764611996,26987.61570429549,0.10467663374065159
Little Tokyo,987.2611472654451,3943.248487203369,0.2503674699855475
Littlerock,124.10599974356866,976.343399224731,0.1271130627216976
Littlerock/Juniper Hills,219.07243683589863,1069.2492736008915,0.20488434478719106
Littlerock/Pearblossom,911.4403329094524,7074.4457054319355,0.12883558244140964
Llano,575.8731138372492,2808.9224571068103,0.2050156679762525
Lomita,3298.815730698392,20414.0103382053,0.16159567258201007
Long Beach,50677.97931926627,464832.7219008528,0.10902412186480216
Longwood,413.9106279001633,3777.533128654783,0.10957167384196072
Los Feliz,3172.340378041601,20542.36111464583,0.15442919926959403
Lynwood,5417.983419341577,71759.27510163902,0.07550220388469096
Malibu,2054.797506325451,9644.619667660078,0.2130511701996409
Manchester Square,1358.9595629911419,8769.521072701571,0.15496394292516316
Mandeville Canyon,761.4113091086989,3086.624399787056,0.24668090784263486
Manhattan Beach,5967.401297752297,35180.83090364745,0.16962081748710525
Mar Vista,5879.911426998229,42507.819942049864,0.13832540541985464
Marina del Rey,655.0104208587977,6011.119400300435,0.10896646318921238
Marina Peninsula,805.8325254606918,3701.938781024969,0.2176785120248742
Maywood,1839.078367250149,25956.235589921664,0.07085304650125113
Melrose,7857.623487678588,72619.46211825249,0.10820272222456492
Mid-city,1803.4678375020244,15421.615727793063,0.11694415613350993
Miracle Mile,1705.1705368736941,16735.38796954064,0.10189011094198723
Mission Hills,3646.7233832963198,24065.290348685154,0.15153456827066972
Monrovia,5732.003627936018,43021.23399240931,0.1332366158754855
Montebello,9660.995727795502,63635.20374583369,0.15181841432271714
Monterey Park,12886.581954697574,61138.66160252615,0.21077631758568172
Mt. Washington,2946.2206566148598,23401.500053285807,0.1258987949450352
Newhall,256.08197197379025,1295.409979244033,0.19768411242534423
North Hills,6255.247285954003,63255.62307678891,0.09888839887578803
North Hollywood,14515.543572062543,135353.07401958012,0.10724206802988996
North Lancaster,573.1253084576941,5902.478796038283,0.09709908807167139
North Whittier,1053.1824542956367,6091.02425509925,0.1729072829440696
Northeast San Gabriel,3685.2077640843722,21284.23731077585,0.1731425801298792
Northridge,9640.27130524902,70785.26820869184,0.13619036205142576
Norwalk,12362.406456356617,106377.60433667702,0.11621249165595554
Pacific Palisades,4723.680050584105,20602.616018128658,0.22927574082959384
Pacoima,6890.138450272529,73814.23274698084,0.09334430764715021
Padua Hills,6.3479464577194005,24.275394733692032,0.2614971466935213
Palisades Highlands,899.4719637615935,3671.191311815005,0.2450081968942399
Palmdale,14093.003673317544,156469.3971752651,0.0900687541956312
Palms,3435.971392205148,39565.848788525094,0.08684184713362322
Palos Verdes Estates,3455.932516898401,13213.826376203555,0.26153911959385984
Palos Verdes Peninsula,74.124838284183,331.01661241827804,0.22393087084861357
Panorama City,6637.709667878436,70241.36290408944,0.09449858877228576
Paramount,4296.605359045146,54457.130015452414,0.07889885783231632
Park La Brea,881.0741889647929,11582.756468883052,0.07606774702824748
Pasadena,21808.298953175774,141229.09132089542,0.15441789470714487
Pearblossom/Llano,103.8105156094697,508.7077828363201,0.20406708745572974
Pellissier Village,142.25219611681842,993.2434298379209,0.14321987122535648
Pico Rivera,9315.565372951936,64788.02149256307,0.14378530410936005
Pico-Union,4041.9075467542402,41795.86622658942,0.09670591643780517
Placerita Canyon,172.10594786287666,1725.6651995058937,0.09973310460925759
Playa Del Rey,533.0802267079943,3079.048049882777,0.17313150625508728
Playa Vista,1196.3105443844324,12752.744781373938,0.09380808327096044
Pomona,15439.517885871566,154407.93224924794,0.09999174045637002
Porter Ranch,7305.363933925416,34421.58121180856,0.2122320845452405
Quartz Hill,1466.7229609019214,10338.232892882836,0.14187366217215513
Rancho Dominguez,482.17161576764073,2795.7794170888114,0.17246411244765378
Rancho Palos Verdes,10533.733469055067,41536.62610592328,0.25360108551409083
Rancho Park,1037.0630358229575,6468.768317978666,0.16031846942804326
Redondo Beach,8419.460955139084,66710.07154410523,0.12620974255098158
Regent Square,338.8091588348839,2166.9305328989267,0.15635441639267683
Reseda,9698.555079671,77196.05524122139,0.12563537151432233
Reseda Ranch,551.0330937137517,4496.3121837869385,0.12255223196038267
Reynier Village,393.2895395327814,3577.1231371811687,0.10994576492066191
Rolling Hills,555.4166449945651,1724.9655372014317,0.3219870965629075
