hood.name,tract.fips,pct.of.tract
Toluca Woods,06037125310,5.910988108921004e-7
North Hollywood,06037125320,0.9997917559728354
Toluca Terrace,06037125320,1.7861318793937406e-5
Valley Village,06037125320,1.9038270835955323e-4
North Hollywood,06037125401,0.9998054483119286
Toluca Lake,06037125401,1.083324309459853e-4
Valley Village,06037125401,8.621925708844905e-5
North Hollywood,06037125402,0.9997623260649159
Toluca Lake,06037125402,2.3384919499871694e-4
Valley Village,06037125402,3.824740091827478e-6
North Hollywood,06037125501,0.9999401793618211
Toluca Lake,06037125501,4.5549890998125554e-5
Toluca Woods,06037125501,1.4270747141846049e-5
North Hollywood,06037125502,4.756722356487326e-5
Toluca Lake,06037125502,0.9999426132088051
Toluca Woods,06037125502,9.81956759249496e-6
Burbank,06037125600,1.5070876445488098e-4
North Hollywood,06037125600,7.036331684604067e-6
Toluca Lake,06037125600,0.34683137712740697
Toluca Terrace,06037125600,9.864728616305035e-6
Toluca Woods,06037125600,0.6530010130478704
Panorama City,06037127102,3.745189957486852e-4
Van Nuys,06037127102,0.9996254810042795
North Hollywood,06037127103,0.015808225903805172
Panorama City,06037127103,5.6582610938648976e-5
Van Nuys,06037127103,0.9841351914853055
Panorama City,06037127104,0.0019602557981472203
Van Nuys,06037127104,0.9980397442018367
Panorama City,06037127210,8.933028180451159e-4
Van Nuys,06037127210,0.99910669718195
Van Nuys,06037127220,1
Lake Balboa,06037127300,1.3457747348479422e-10
Van Nuys,06037127300,0.999999999865416
Lake Balboa,06037127400,0.379584772725397
North Hills,06037127400,4.6910178136162e-6
Van Nuys,06037127400,0.6204105362568023
North Hills,06037127520,3.416161270043875e-5
Panorama City,06037127520,0.0032500714746774204
Van Nuys,06037127520,0.9967157669125574
Lake Balboa,06037127603,0.9999992920108882
Van Nuys,06037127603,7.079891292109033e-7
Lake Balboa,06037127604,1
Encino,06037127605,1.0403769248996402e-6
Lake Balboa,06037127605,0.9999960188240078
Van Nuys,06037127605,2.9407990612794164e-6
Encino,06037127606,4.166148799786627e-6
Lake Balboa,06037127606,0.9997253082788479
Van Nuys,06037127606,2.7052557235046284e-4
Encino,06037127711,1.5581883747249087e-8
Lake Balboa,06037127711,0.002143150392370508
