csa.hood.name,mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg,deaths,rate.deaths
Wiseburn,south-bay,2020-12-21,268,6027,4446.656711465074,8,75,5.357142857142857,88.88572850743084,1,16.592002654720424
Littlerock,antelope-valley,2020-12-21,262,4021,6515.792091519522,1,87,6.214285714285714,154.54577752513592,1,24.869435463814973
Santa Monica Mountains,santa-monica-mountains,2020-12-21,262,18621,1407.0135868105901,1,50,3.5714285714285716,19.17957452031884,1,5.370280865689276
East La Mirada,san-gabriel-valley,2020-12-21,260,5292,4913.07634164777,7,67,4.785714285714286,90.4329985962639,1,18.89644746787604
Toluca Lake,san-fernando-valley,2020-12-21,259,8704,2975.643382352941,2,69,4.928571428571429,56.624212184873954,2,22.977941176470587
Rosewood/West Rancho Dominguez,southeast,2020-12-21,253,3361,7527.521570961024,7,73,5.214285714285714,155.1409019424491,1,29.753049687592977
Sierra Madre,san-gabriel-valley,2020-12-21,251,10989,2284.102284102284,5,87,6.214285714285714,56.550056550056546,5,45.5000455000455
Littlerock/Pearblossom,antelope-valley,2020-12-21,248,3569,6948.725133090501,10,76,5.428571428571429,152.1034303326262,1,28.01905295601009
East Whittier,san-gabriel-valley,2020-12-21,224,5306,4221.635883905013,8,68,4.857142857142857,91.54057401324646,0,0
Acton,antelope-valley,2020-12-21,216,7971,2709.823108769289,5,68,4.857142857142857,60.93517572629352,3,37.63643206624012
Cheviot Hills,westside,2020-12-21,210,9171,2289.826627412496,3,56,4,43.61574528404754,2,21.80787264202377
Little Tokyo,central-la,2020-12-21,201,3133,6415.576125119693,4,54,3.857142857142857,123.11340112169988,1,31.91828917969997
Malibu,santa-monica-mountains,2020-12-21,194,12961,1496.7980865673944,4,25,1.7857142857142858,13.777596525841261,5,38.57727027235553
Shadow Hills,san-fernando-valley,2020-12-21,193,4442,4344.889689329131,3,56,4,90.04952723998198,0,0
Ladera Heights,westside,2020-12-21,192,7071,2715.3160797624096,7,37,2.642857142857143,37.37600258601532,4,56.5690849950502
San Marino,san-gabriel-valley,2020-12-21,192,13277,1446.1098139639978,3,47,3.357142857142857,25.285402253090737,6,45.19093168637493
Marina del Rey,westside,2020-12-21,188,9411,1997.6623100626925,1,42,3,31.877590054191902,0,0
Palos Verdes Estates,south-bay,2020-12-21,187,13522,1382.9315190060643,2,28,2,14.790711433219938,2,14.790711433219938
Exposition,south-la,2020-12-21,186,3326,5592.303066746843,5,65,4.642857142857143,139.59281848638435,2,60.132291040288635
Desert View Highlands,antelope-valley,2020-12-21,184,2493,7380.665864420377,4,63,4.5,180.50541516245488,2,80.22462896109106
Bel Air,westside,2020-12-21,183,8429,2171.076046980662,1,41,2.9285714285714284,34.74399606799654,0,0
Rancho Dominguez,harbor,2020-12-21,179,2661,6726.794438181134,4,57,4.071428571428571,153.00370430020936,1,37.579857196542655
Rancho Park,westside,2020-12-21,171,6560,2606.7073170731705,1,29,2.0714285714285716,31.57665505226481,0,0
Irwindale,san-gabriel-valley,2020-12-21,156,1459,10692.254969156957,1,52,3.7142857142857144,254.57749926564182,2,137.08019191226867
Del Aire,south-bay,2020-12-21,155,4393,3528.3405417709996,4,30,2.142857142857143,48.77890149913824,2,45.52697473252903
Val Verde,northwest-county,2020-12-21,153,3309,4623.753399818676,5,25,1.7857142857142858,53.965375814877184,1,30.22061045633122
White Fence Farms,antelope-valley,2020-12-21,150,3683,4072.7667662231875,0,33,2.357142857142857,64.00062061207866,0,0
Angelino Heights,central-la,2020-12-21,148,2502,5915.267785771383,1,45,3.2142857142857144,128.46865364850976,1,39.96802557953637
University Hills,eastside,2020-12-21,133,3429,3878.6818314377374,4,35,2.5,72.90755322251385,1,29.163021289005545
East Pasadena,verdugos,2020-12-21,130,6403,2030.2982976729659,1,13,0.9285714285714286,14.502130697664043,2,31.235358425737935
La Rambla,harbor,2020-12-21,129,2075,6216.8674698795185,6,28,2,96.38554216867469,15,722.8915662650603
Rolling Hills Estates,south-bay,2020-12-21,120,8113,1479.1076050782694,1,41,2.9285714285714284,36.09726893345776,3,36.97769012695674
Sunrise Village,san-gabriel-valley,2020-12-21,120,1296,9259.25925925926,1,29,2.0714285714285716,159.83245149911818,0,0
Reynier Village,central-la,2020-12-21,117,4228,2767.2658467360457,2,48,3.4285714285714284,81.09203946479253,0,0
West LA,westside,2020-12-21,114,952,11974.789915966387,1,50,3.5714285714285716,375.15006002400963,4,420.16806722689074
View Heights,south-la,2020-12-21,113,3694,3059.0146182999456,3,29,2.0714285714285716,56.07548921030243,3,81.21277747698971
Regent Square,central-la,2020-12-21,107,2780,3848.9208633093526,2,37,2.642857142857143,95.06680369989722,0,0
Agua Dulce,northwest-county,2020-12-21,105,4158,2525.252525252525,3,38,2.7142857142857144,65.27863670720814,0,0
Kagel/Lopez Canyons,angeles-forest,2020-12-21,100,1412,7082.152974504249,0,39,2.7857142857142856,197.28854714690405,2,141.643059490085
La Habra Heights,san-gabriel-valley,2020-12-21,99,5455,1814.8487626031165,0,18,1.2857142857142858,23.569464449391127,2,36.663611365719525
Valencia,northwest-county,2020-12-21,93,3072,3027.34375,3,22,1.5714285714285714,51.15327380952381,0,0
Industry,san-gabriel-valley,2020-12-21,92,437,21052.631578947367,3,32,2.2857142857142856,523.0467473030402,2,457.66590389016017
Faircrest Heights,central-la,2020-12-21,90,3600,2500,1,18,1.2857142857142858,35.714285714285715,1,27.77777777777778
Pellissier Village,san-gabriel-valley,2020-12-21,85,619,13731.825525040387,2,19,1.3571428571428572,219.24763443341797,0,0
Harbor Pines,harbor,2020-12-21,81,2409,3362.3910336239105,1,26,1.8571428571428572,77.09185791377573,0,0
Del Sur,antelope-valley,2020-12-21,80,2415,3312.6293995859214,5,28,2,82.81573498964804,0,0
West Rancho Dominguez,southeast,2020-12-21,80,1359,5886.681383370125,1,39,2.7857142857142856,204.98265531378115,3,220.7505518763797
Santa Catalina Island,harbor,2020-12-21,79,267,29588.01498127341,2,24,1.7142857142857142,642.0545746388443,1,374.53183520599254
Marina Peninsula,westside,2020-12-21,78,4360,1788.9908256880735,1,17,1.2142857142857142,27.850589777195278,1,22.93577981651376
Rosewood/East Gardena,southeast,2020-12-21,78,1193,6538.139145012574,1,22,1.5714285714285714,131.7207520057478,2,167.64459346186086
Anaverde,antelope-valley,2020-12-21,77,1508,5106.100795755969,2,21,1.5,99.46949602122017,0,0
North Lancaster,antelope-valley,2020-12-21,77,1198,6427.37896494157,0,25,1.7857142857142858,149.05795373241116,1,83.47245409015025
Palisades Highlands,westside,2020-12-21,74,3846,1924.076963078523,1,14,1,26.001040041601666,0,0
Mandeville Canyon,westside,2020-12-21,69,3124,2208.706786171575,0,22,1.5714285714285714,50.30181086519115,0,0
Westlake Village,santa-monica-mountains,2020-12-21,69,8360,825.3588516746412,0,11,0.7857142857142857,9.398496240601503,0,0
Rosewood,southeast,2020-12-21,65,1286,5054.43234836703,0,10,0.7142857142857143,55.5432126194179,1,77.76049766718506
Saugus,northwest-county,2020-12-21,64,155,41290.32258064516,2,12,0.8571428571428571,552.9953917050691,0,0
Lake Manor,san-fernando-valley,2020-12-21,62,1643,3773.584905660377,0,16,1.1428571428571428,69.55916876793322,1,60.86427267194157
Toluca Terrace,san-fernando-valley,2020-12-21,62,1306,4747.320061255743,2,21,1.5,114.85451761102604,1,76.5696784073507
Toluca Woods,san-fernando-valley,2020-12-21,60,1858,3229.278794402583,0,19,1.3571428571428572,73.04321082577273,0,0
Playa Del Rey,south-bay,2020-12-21,58,3196,1814.7684605757195,1,8,0.5714285714285714,17.879492222420883,0,0
Leona Valley,antelope-valley,2020-12-21,57,1751,3255.282695602513,4,24,1.7142857142857142,97.9032389654891,0,0
Littlerock/Juniper Hills,antelope-valley,2020-12-21,56,1297,4317.656129529684,0,19,1.3571428571428572,104.63707456768367,0,0
Newhall,northwest-county,2020-12-21,51,0,Inf,0,12,0.8571428571428571,Inf,0,NaN
Pearblossom/Llano,antelope-valley,2020-12-21,50,1956,2556.237218813906,0,18,1.2857142857142858,65.73181419807187,1,51.12474437627812
Southeast Antelope Valley,antelope-valley,2020-12-21,47,781,6017.925736235595,3,22,1.5714285714285714,201.2072434607646,0,0
Roosevelt,antelope-valley,2020-12-21,45,931,4833.512352309345,0,14,1,107.41138560687432,0,0
Twin Lakes/Oat Mountain,northwest-county,2020-12-21,45,1658,2714.1133896260553,2,18,1.2857142857142858,77.54609684645874,2,120.62726176115801
Vernon,southeast,2020-12-21,45,209,21531.1004784689,0,18,1.2857142857142858,615.1742993848258,0,0
Bradbury,san-gabriel-valley,2020-12-21,42,1177,3568.39422259983,0,4,0.2857142857142857,24.274790629930813,3,254.88530161427357
Hidden Hills,santa-monica-mountains,2020-12-21,33,1890,1746.031746031746,1,2,0.14285714285714285,7.558578987150415,0,0
Elizabeth Lake,antelope-valley,2020-12-21,30,1661,1806.1408789885613,1,8,0.5714285714285714,34.40268340930593,0,0
Westhills,san-fernando-valley,2020-12-21,26,839,3098.927294398093,0,2,0.14285714285714285,17.027073046143368,0,0
Llano,antelope-valley,2020-12-21,22,877,2508.5518814139114,0,8,0.5714285714285714,65.15719172503664,0,0
Bouquet Canyon,northwest-county,2020-12-21,21,1073,1957.1295433364398,1,5,0.35714285714285715,33.28451604313673,1,93.19664492078284
Hi Vista,antelope-valley,2020-12-21,21,1098,1912.568306010929,0,9,0.6428571428571429,58.5480093676815,0,0
Saugus/Canyon Country,northwest-county,2020-12-21,21,356,5898.876404494382,0,4,0.2857142857142857,80.25682182985554,0,0
San Pasqual,san-gabriel-valley,2020-12-21,20,2035,982.8009828009828,0,5,0.35714285714285715,17.55001755001755,0,0
Rolling Hills,south-bay,2020-12-21,19,1940,979.3814432989691,1,3,0.21428571428571427,11.045655375552283,0,0
Lake Hughes,northwest-county,2020-12-21,18,668,2694.6107784431138,0,1,0.07142857142857142,10.6928999144568,0,0
Westfield/Academy Hills,south-bay,2020-12-21,18,1300,1384.6153846153848,0,3,0.21428571428571427,16.483516483516482,0,0
Angeles National Forest,angeles-forest,2020-12-21,17,1245,1365.4618473895582,4,6,0.42857142857142855,34.42340791738382,0,0
West Antelope Valley,antelope-valley,2020-12-21,17,1511,1125.0827266710787,0,8,0.5714285714285714,37.817906778859786,0,0
Sycamore Square,central-la,2020-12-21,16,647,2472.952086553323,0,7,0.5,77.27975270479135,1,154.5595054095827
East Covina,san-gabriel-valley,2020-12-21,15,329,4559.270516717325,0,2,0.14285714285714285,43.42162396873643,0,0
Brookside,central-la,2020-12-21,13,581,2237.5215146299483,0,3,0.21428571428571427,36.88222276862552,1,172.1170395869191
Palos Verdes Peninsula,south-bay,2020-12-21,13,621,2093.3977455716586,0,4,0.2857142857142857,46.008741660915575,0,0
South Antelope Valley,antelope-valley,2020-12-21,12,455,2637.3626373626375,1,3,0.21428571428571427,47.09576138147567,0,0
Sand Canyon,angeles-forest,2020-12-21,8,0,Inf,0,1,0.07142857142857142,Inf,0,NaN
East Lancaster,antelope-valley,2020-12-21,6,114,5263.157894736842,1,4,0.2857142857142857,250.62656641604008,0,0
Padua Hills,pomona-valley,2020-12-21,6,0,Inf,0,2,0.14285714285714285,Inf,0,NaN
Avalon,harbor,2020-12-21,5,3723,134.30029546065003,0,0,0,0,0,0
Whittier Narrows,san-gabriel-valley,2020-12-21,5,0,Inf,0,0,0,NaN,0,NaN
San Francisquito Canyon/Bouquet Canyon,northwest-county,2020-12-21,4,0,Inf,0,0,0,NaN,0,NaN
West Chatsworth,san-fernando-valley,2020-12-21,1,0,Inf,0,0,0,NaN,0,NaN
