csa.hood.name,mapla.region.slug,top.region.pct.csa,population
La Canada Flintridge,verdugos,0.9972406871837162,20693
Whittier,san-gabriel-valley,0.9971561975500458,91216
Encino,san-fernando-valley,0.9971193565987576,45172
Hi Vista,antelope-valley,0.9971132338660958,1098
Ladera Heights,westside,0.9967541098337817,7071
Redondo Beach,south-bay,0.9965976057538973,68697
Athens-Westmont,south-la,0.9961244578538221,42442
Chatsworth,san-fernando-valley,0.9960278354490845,37061
Cerritos,southeast,0.9959711124375031,50654
Los Feliz,central-la,0.9959279824963463,21608
Castaic,northwest-county,0.9958963326612508,27191
Commerce,southeast,0.9958927105821274,13069
Hyde Park,south-la,0.9955731785453849,28541
Harbor Gateway,harbor,0.9955416538726047,43600
Diamond Bar,san-gabriel-valley,0.995503819625564,57515
Palisades Highlands,westside,0.9954991396994941,3846
Sand Canyon,angeles-forest,0.9951373932707646,0
La Verne,pomona-valley,0.9951012964164204,35322
South Edwards,antelope-valley,0.9948791176116802,0
Willowbrook,south-la,0.9948298275230593,34913
Rancho Dominguez,harbor,0.9945378388506307,2661
Lakewood,harbor,0.99440285498375,80362
Playa Del Rey,south-bay,0.994288450339835,3196
Hidden Hills,santa-monica-mountains,0.9937610783525902,1890
Alsace,south-la,0.9934310898580434,12445
Baldwin Hills,south-la,0.9930302829404312,31125
Walnut,san-gabriel-valley,0.9929981149721758,30532
Pomona,pomona-valley,0.9926627454316618,157869
Twin Lakes/Oat Mountain,northwest-county,0.9925031651301683,1658
Hermosa Beach,south-bay,0.9924493192860246,19670
Lakeview Terrace,san-fernando-valley,0.9922998149816799,13133
Azusa,san-gabriel-valley,0.9922613861149755,65963
Pico Rivera,southeast,0.9916058891303884,64284
Hawaiian Gardens,harbor,0.9914106339390536,14676
Val Verde,northwest-county,0.9913618472531809,3309
West Whittier/Los Nietos,southeast,0.989667221326764,26925
Westhills,san-fernando-valley,0.9894894908542898,839
Lake Manor,san-fernando-valley,0.9887485435328851,1643
San Pasqual,san-gabriel-valley,0.9880245405669538,2035
Venice,westside,0.9850757486941301,33885
Pacific Palisades,westside,0.9836783797571099,21291
Long Beach,harbor,0.9814600797867444,467354
Glendora,san-gabriel-valley,0.9803086843903084,53424
Whittier Narrows,san-gabriel-valley,0.9789356653024676,0
Mt. Washington,northeast-la,0.9788423075175086,24145
University Park,south-la,0.9761281128315042,27456
Santa Monica,westside,0.9739874668756674,92446
Atwater Village,northeast-la,0.9724928903306378,14666
Marina del Rey,westside,0.9716584968759552,9411
Placerita Canyon,angeles-forest,0.9712531353891696,460
Sun Valley,san-fernando-valley,0.9694454799360623,52483
Santa Clarita,northwest-county,0.95933597809362,220424
Marina Peninsula,westside,0.9447930625647947,4360
Bouquet Canyon,northwest-county,0.9437207648996384,1073
Claremont,pomona-valley,0.9386278180089231,37186
Beverly Crest,westside,0.9372988105396041,12525
El Sereno,eastside,0.9321758674578615,41808
Hollywood Hills,central-la,0.9267414428914033,29434
Downtown,central-la,0.9167496342266386,27507
Cloverdale/Cochran,central-la,0.9003683624298184,14553
Angeles National Forest,angeles-forest,0.8855872537821681,1245
Agua Dulce,northwest-county,0.8750307196357011,4158
Canyon Country,northwest-county,0.8704391734139697,7728
San Pedro,harbor,0.8667316646859133,78038
Leona Valley,antelope-valley,0.863320085187768,1751
South Antelope Valley,antelope-valley,0.8550992266372559,455
Elysian Valley,central-la,0.764074482790158,10171
Longwood,central-la,0.68747912158712,4304
West Antelope Valley,antelope-valley,0.6717832832751666,1511
Wholesale District,central-la,0.6507844376100343,36129
West Adams,south-la,0.6415224636795377,27630
Reynier Village,central-la,0.6378715702715609,4228
Crestview,westside,0.6149809378758765,11368
Elizabeth Lake,antelope-valley,0.6083025702747735,1661
Acton,antelope-valley,0.6068255791381871,7971
Wellington Square,central-la,0.5909570675566156,4915
Lincoln Heights,eastside,0.5641232410927812,32597
South Carthay,central-la,0.5371646297637915,10595
East Pasadena,verdugos,0.5354913617080308,6403
Sunland,san-fernando-valley,0.5309180075351937,20408
