csa.hood.name,has.la.hood,has.uninc.hood,has.inc.city,count.original,original.labels,population,hood.type,mapla.region.slug
Stevenson Ranch,FALSE,TRUE,FALSE,1,Unincorporated - Stevenson Ranch,20966,unincorporated-area,northwest-county
Studio City,TRUE,FALSE,FALSE,1,Los Angeles - Studio City,22440,segment-of-a-city,san-fernando-valley
Sun Valley,TRUE,FALSE,FALSE,1,Los Angeles - Sun Valley,52483,segment-of-a-city,san-fernando-valley
Sun Village,FALSE,TRUE,FALSE,1,Unincorporated - Sun Village,6036,unincorporated-area,antelope-valley
Sunland,TRUE,FALSE,FALSE,1,Los Angeles - Sunland,20408,segment-of-a-city,san-fernando-valley
Sunrise Village,FALSE,TRUE,FALSE,1,Unincorporated - Sunrise Village,1296,unincorporated-area,san-gabriel-valley
Sycamore Square,TRUE,FALSE,FALSE,1,Los Angeles - Sycamore Square,647,segment-of-a-city,central-la
Sylmar,TRUE,FALSE,FALSE,1,Los Angeles - Sylmar,82398,segment-of-a-city,san-fernando-valley
Tarzana,TRUE,FALSE,FALSE,1,Los Angeles - Tarzana,30876,segment-of-a-city,san-fernando-valley
Temple City,FALSE,FALSE,TRUE,1,City of Temple City,36455,standalone-city,san-gabriel-valley
Temple-Beaudry,TRUE,FALSE,FALSE,1,Los Angeles - Temple-Beaudry,39482,segment-of-a-city,central-la
Thai Town,TRUE,FALSE,FALSE,1,Los Angeles - Thai Town,9809,segment-of-a-city,central-la
Toluca Lake,TRUE,FALSE,FALSE,1,Los Angeles - Toluca Lake,8704,segment-of-a-city,san-fernando-valley
Toluca Terrace,TRUE,FALSE,FALSE,1,Los Angeles - Toluca Terrace,1306,segment-of-a-city,san-fernando-valley
Toluca Woods,TRUE,FALSE,FALSE,1,Los Angeles - Toluca Woods,1858,segment-of-a-city,san-fernando-valley
Torrance,FALSE,FALSE,TRUE,1,City of Torrance,149268,standalone-city,south-bay
Tujunga,TRUE,FALSE,FALSE,1,Los Angeles - Tujunga,27810,segment-of-a-city,verdugos
Twin Lakes/Oat Mountain,FALSE,TRUE,FALSE,1,Unincorporated - Twin Lakes/Oat Mountain,1658,unincorporated-area,northwest-county
Universal City,FALSE,TRUE,FALSE,1,Unincorporated - Universal City,0,unincorporated-area,san-fernando-valley
University Hills,TRUE,FALSE,FALSE,1,Los Angeles - University Hills,3429,segment-of-a-city,eastside
University Park,TRUE,FALSE,FALSE,1,Los Angeles - University Park,27456,segment-of-a-city,south-la
Val Verde,FALSE,TRUE,FALSE,1,Unincorporated - Val Verde,3309,unincorporated-area,northwest-county
Valencia,FALSE,TRUE,FALSE,1,Unincorporated - Valencia,3072,unincorporated-area,northwest-county
Valinda,FALSE,TRUE,FALSE,1,Unincorporated - Valinda,23371,unincorporated-area,san-gabriel-valley
Valley Glen,TRUE,FALSE,FALSE,1,Los Angeles - Valley Glen,30016,segment-of-a-city,san-fernando-valley
Valley Village,TRUE,FALSE,FALSE,1,Los Angeles - Valley Village,24720,segment-of-a-city,san-fernando-valley
Van Nuys,TRUE,FALSE,FALSE,1,Los Angeles - Van Nuys,93194,segment-of-a-city,san-fernando-valley
Venice,TRUE,FALSE,FALSE,1,Los Angeles - Venice,33885,segment-of-a-city,westside
Vermont Knolls,TRUE,FALSE,FALSE,1,Los Angeles - Vermont Knolls,17200,segment-of-a-city,south-la
Vermont Square,TRUE,FALSE,FALSE,1,Los Angeles - Vermont Square,7657,segment-of-a-city,south-la
Vermont Vista,TRUE,FALSE,FALSE,1,Los Angeles - Vermont Vista,41186,segment-of-a-city,south-la
Vernon,FALSE,FALSE,TRUE,1,City of Vernon,209,standalone-city,southeast
Vernon Central,TRUE,FALSE,FALSE,1,Los Angeles - Vernon Central,51998,segment-of-a-city,south-la
Victoria Park,TRUE,FALSE,FALSE,1,Los Angeles - Victoria Park,8399,segment-of-a-city,central-la
View Heights,TRUE,FALSE,FALSE,1,Los Angeles - View Heights,3694,segment-of-a-city,south-la
View Park/Windsor Hills,FALSE,TRUE,FALSE,1,Unincorporated - View Park/Windsor Hills,11635,unincorporated-area,south-la
Walnut,FALSE,TRUE,TRUE,2,City of Walnut | Unincorporated - Walnut,30532,standalone-city,san-gabriel-valley
Walnut Park,FALSE,TRUE,FALSE,1,Unincorporated - Walnut Park,16143,unincorporated-area,southeast
Watts,TRUE,FALSE,FALSE,1,Los Angeles - Watts,42674,segment-of-a-city,south-la
Wellington Square,TRUE,FALSE,FALSE,1,Los Angeles - Wellington Square,4915,segment-of-a-city,central-la
West Adams,TRUE,FALSE,FALSE,1,Los Angeles - West Adams,27630,segment-of-a-city,south-la
West Antelope Valley,FALSE,TRUE,FALSE,1,Unincorporated - West Antelope Valley,1511,unincorporated-area,antelope-valley
West Carson,FALSE,TRUE,FALSE,1,Unincorporated - West Carson,22086,unincorporated-area,harbor
West Chatsworth,FALSE,TRUE,FALSE,1,Unincorporated - West Chatsworth,0,unincorporated-area,san-fernando-valley
West Covina,FALSE,FALSE,TRUE,1,City of West Covina,108235,standalone-city,san-gabriel-valley
West Hills,TRUE,FALSE,FALSE,1,Los Angeles - West Hills,40545,segment-of-a-city,san-fernando-valley
West Hollywood,FALSE,FALSE,TRUE,1,City of West Hollywood,36951,standalone-city,central-la
West LA,FALSE,TRUE,FALSE,1,Unincorporated - West LA,952,unincorporated-area,westside
West Los Angeles,TRUE,FALSE,FALSE,1,Los Angeles - West Los Angeles,37636,segment-of-a-city,westside
West Puente Valley,FALSE,TRUE,FALSE,1,Unincorporated - West Puente Valley,9835,unincorporated-area,san-gabriel-valley
West Rancho Dominguez,FALSE,TRUE,FALSE,1,Unincorporated - West Rancho Dominguez,1359,unincorporated-area,southeast
West Vernon,TRUE,FALSE,FALSE,1,Los Angeles - West Vernon,53644,segment-of-a-city,south-la
West Whittier/Los Nietos,FALSE,TRUE,FALSE,1,Unincorporated - West Whittier/Los Nietos,26925,unincorporated-area,southeast
Westchester,TRUE,FALSE,FALSE,1,Los Angeles - Westchester,51603,segment-of-a-city,south-bay
Westfield/Academy Hills,FALSE,TRUE,FALSE,1,Unincorporated - Westfield/Academy Hills,1300,unincorporated-area,south-bay
Westhills,FALSE,TRUE,FALSE,1,Unincorporated - Westhills,839,unincorporated-area,san-fernando-valley
Westlake,TRUE,FALSE,FALSE,1,Los Angeles - Westlake,59355,segment-of-a-city,central-la
Westlake Village,FALSE,FALSE,TRUE,1,City of Westlake Village,8360,standalone-city,santa-monica-mountains
Westwood,TRUE,FALSE,FALSE,1,Los Angeles - Westwood,54109,segment-of-a-city,westside
White Fence Farms,FALSE,TRUE,FALSE,1,Unincorporated - White Fence Farms,3683,unincorporated-area,antelope-valley
Whittier,FALSE,TRUE,TRUE,2,City of Whittier | Unincorporated - Whittier,91216,standalone-city,san-gabriel-valley
Whittier Narrows,FALSE,TRUE,FALSE,1,Unincorporated - Whittier Narrows,0,unincorporated-area,san-gabriel-valley
Wholesale District,TRUE,FALSE,FALSE,1,Los Angeles - Wholesale District,36129,segment-of-a-city,central-la
Willowbrook,FALSE,TRUE,FALSE,1,Unincorporated - Willowbrook,34913,unincorporated-area,south-la
Wilmington,TRUE,FALSE,FALSE,1,Los Angeles - Wilmington,56487,segment-of-a-city,harbor
Wilshire Center,TRUE,FALSE,FALSE,1,Los Angeles - Wilshire Center,50170,segment-of-a-city,central-la
Winnetka,TRUE,FALSE,FALSE,1,Los Angeles - Winnetka,51786,segment-of-a-city,san-fernando-valley
Wiseburn,FALSE,TRUE,FALSE,1,Unincorporated - Wiseburn,6027,unincorporated-area,south-bay
Woodland Hills,TRUE,FALSE,FALSE,1,Los Angeles - Woodland Hills,68055,segment-of-a-city,san-fernando-valley
