"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"128","Los Angeles - Granada Hills",654,1124,1009,56,96,70,58191
"129","Los Angeles - Green Meadows",492,2288,2303,6,28,37,21505
"130","Los Angeles - Hancock Park",150,880,877,2,12,12,17039
"131","Los Angeles - Harbor City",288,991,981,9,31,25,29070
"132","Los Angeles - Harbor Gateway",462,1060,1039,8,18,20,43600
"133","Los Angeles - Harbor Pines",10,415,448,0,0,0,2409
"134","Los Angeles - Harvard Heights",317,1758,1728,18,100,120,18035
"135","Los Angeles - Harvard Park",843,2222,2210,12,32,33,37935
"136","Los Angeles - Highland Park",608,1256,1224,16,33,35,48391
"137","Los Angeles - Historic Filipinotown",259,1867,1729,8,58,49,13870
"138","Los Angeles - Hollywood",644,944,839,6,9,9,68254
"139","Los Angeles - Hollywood Hills",174,591,637,6,20,19,29434
"140","Los Angeles - Hyde Park",411,1440,1401,8,28,24,28541
"141","Los Angeles - Jefferson Park",155,1920,1896,0,0,0,8073
"142","Los Angeles - Koreatown",617,1194,1147,20,39,38,51693
"143","Los Angeles - Lafayette Square",47,1031,1005,1,22,20,4559
"144","Los Angeles - Lake Balboa",453,1073,1057,11,26,27,42206
"145","Los Angeles - Lakeview Terrace",331,2520,2502,16,122,140,13133
"146","Los Angeles - Leimert Park",165,1083,1076,3,20,13,15235
"147","Los Angeles - Lincoln Heights",655,2009,1955,36,110,94,32597
"148","Los Angeles - Little Armenia",277,3452,2941,43,536,428,8025
"149","Los Angeles - Little Bangladesh",289,1020,1013,4,14,15,28343
"150","Los Angeles - Little Tokyo",42,1341,1143,2,64,21,3133
"151","Los Angeles - Longwood",67,1557,1516,0,0,0,4304
"152","Los Angeles - Los Feliz",112,518,549,2,9,6,21608
"153","Los Angeles - Manchester Square",72,843,847,1,12,9,8536
"154","Los Angeles - Mandeville Canyon",5,160,294,0,0,0,3124
"155","Los Angeles - Mar Vista",181,426,427,5,12,9,42471
"156","Los Angeles - Marina Peninsula",22,505,431,0,0,0,4360
"157","Los Angeles - Melrose",1116,1436,1404,47,60,62,77696
"158","Los Angeles - Mid-city",192,1277,1189,20,133,120,15030
"159","Los Angeles - Miracle Mile",98,545,505,5,28,25,17985
