hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate,days.since.case.cutoff,days.since.case.rate.cutoff
North Lancaster,antelope-valley,2020-05-11,4,1198,0.00333889816360601,,12
North Whittier,san-gabriel-valley,2020-05-11,6,8360,7.177033492822966e-4,,
Northeast San Gabriel,san-gabriel-valley,2020-05-11,24,24036,9.98502246630055e-4,,
Northridge,san-fernando-valley,2020-05-11,216,69797,0.003094688883476367,27,14
Norwalk,southeast,2020-05-11,250,107622,0.0023229451227444204,35,6
Pacific Palisades,westside,2020-05-11,39,21291,0.0018317598985486826,,
Pacoima,san-fernando-valley,2020-05-11,432,76979,0.0056119201340625365,30,18
Padua Hills,pomona-valley,2020-04-07,0,0,NaN,,
Palisades Highlands,westside,2020-05-11,3,3846,7.8003120124805e-4,,
Palmdale,antelope-valley,2020-05-11,508,159810,0.0031787747950691447,34,18
Palms,westside,2020-05-11,155,43877,0.003532602502450031,33,18
Palos Verdes Estates,south-bay,2020-05-11,40,13522,0.0029581422866439876,,34
Palos Verdes Peninsula,south-bay,2020-05-11,0,621,0,,
Panorama City,san-fernando-valley,2020-05-11,449,75250,0.005966777408637874,33,19
Paramount,southeast,2020-05-11,178,56023,0.0031772664798386378,24,16
Park La Brea,central-la,2020-05-11,13,13580,9.572901325478645e-4,,
Pasadena,verdugos,2020-05-11,551,138101,0.0039898335276355714,38,17
Pearblossom/Llano,antelope-valley,2020-05-11,2,1956,0.0010224948875255625,,
Pellissier Village,san-gabriel-valley,2020-05-11,0,619,0,,
Pico Rivera,southeast,2020-05-11,263,64284,0.004091220210316719,31,16
Pico-Union,central-la,2020-05-11,362,41842,0.00865159409206061,28,23
Placerita Canyon,angeles-forest,2020-05-11,0,460,0,,
Playa Del Rey,south-bay,2020-05-11,1,3196,3.1289111389236547e-4,,
Playa Vista,westside,2020-05-11,20,10947,0.0018269845619804514,,
Pomona,pomona-valley,2020-05-11,266,157869,0.0016849413121005391,27,
Porter Ranch,san-fernando-valley,2020-05-11,65,35588,0.0018264583567494661,15,
Quartz Hill,antelope-valley,2020-05-11,29,12906,0.002247016891368356,,13
Rancho Dominguez,harbor,2020-05-11,12,2661,0.004509582863585118,,27
Rancho Palos Verdes,south-bay,2020-05-11,75,42747,0.0017545090883570777,20,
Rancho Park,westside,2020-05-11,12,6560,0.001829268292682927,,
Redondo Beach,south-bay,2020-05-11,120,68697,0.001746801170356784,40,
Regent Square,central-la,2020-05-11,3,2780,0.001079136690647482,,
Reseda,san-fernando-valley,2020-05-11,327,76617,0.004267982301577979,33,17
Reseda Ranch,san-fernando-valley,2020-05-11,23,4636,0.004961173425366695,,21
Reynier Village,central-la,2020-05-11,9,4228,0.0021286660359508044,,8
Rolling Hills,south-bay,2020-05-11,2,1940,0.0010309278350515464,,
Rolling Hills Estates,south-bay,2020-05-11,13,8113,0.0016023665721681252,,
Roosevelt,antelope-valley,2020-05-11,0,931,0,,
Rosemead,san-gabriel-valley,2020-05-11,55,55350,9.93676603432701e-4,3,
Rosewood,southeast,2020-05-11,5,1286,0.0038880248833592537,,16
Rosewood/East Gardena,southeast,2020-05-11,0,1193,0,,
Rosewood/West Rancho Dominguez,southeast,2020-05-11,11,3361,0.0032728354656352274,,14
Rowland Heights,san-gabriel-valley,2020-05-11,70,51022,0.001371957194935518,10,
San Clemente Island,,2020-05-11,0,0,NaN,,
San Dimas,san-gabriel-valley,2020-05-11,35,34516,0.0010140224823270367,,
San Fernando,san-fernando-valley,2020-05-11,132,24612,0.005363237445148708,19,19
San Francisquito Canyon/Bouquet Canyon,northwest-county,2020-05-11,0,0,NaN,,
San Gabriel,san-gabriel-valley,2020-05-11,54,40954,0.00131855252234214,0,
San Jose Hills,san-gabriel-valley,2020-05-11,30,20221,0.001483606152020177,,
San Marino,san-gabriel-valley,2020-05-11,15,13277,0.0011297732921593734,,
San Pasqual,san-gabriel-valley,2020-05-11,0,2035,0,,
San Pedro,harbor,2020-05-11,734,78038,0.009405674158743176,28,15
Sand Canyon,angeles-forest,2020-05-11,0,0,NaN,,
Santa Catalina Island,harbor,2020-05-11,2,267,0.00749063670411985,,16
Santa Clarita,northwest-county,2020-05-11,496,220424,0.0022502086887090334,40,5
Santa Fe Springs,southeast,2020-05-11,31,18364,0.0016880853844478327,,
Santa Monica,westside,2020-05-11,209,92446,0.0022607792657335095,40,7
Santa Monica Mountains,santa-monica-mountains,2020-05-11,19,18621,0.0010203533644809624,,
Saugus,northwest-county,2020-05-11,4,155,0.025806451612903226,,16
